FID IID het.rate mis.rate
A204 B204 0.52373689227836 0
A233 B233 0.551487414187643 0.0001907
A237 B237 0.552631578947368 0.0001907
A413 B413 0.523745946976922 0.0003813
A422 B422 0.544813119755912 0.0001907
A436 B436 0.191039084842707 0
A442 B442 0.196796338672769 0.0001907
A522 B522 0.531655225019069 0.0001907
A528 B528 0.198093422306959 0
A575 B575 0.523073989321129 0.0001907
A615 B615 0.208086973107 0.0003813
A709 B709 0.202478551000953 0
A754 B754 0.535278413424866 0.0001907
A770 B770 0.209342230695901 0
A772 B772 0.223112128146453 0.0001907
A808 B808 0.203050524308866 0
A829 B829 0.189549961861175 0.0001907
A899 B899 0.530320366132723 0.0001907
A931 B931 0.532990083905416 0.0001907
A974 B974 0.198665395614871 0
A1204 B1204 0.529176201372998 0.0001907
A1233 B1233 0.532418001525553 0.0001907
A1237 B1237 0.541587180465471 0.000572
A1413 B1413 0.530892448512586 0.0001907
A1422 B1422 0.552164791150105 0.0003813
A1436 B1436 0.191229742612011 0
A1442 B1442 0.182840800762631 0
A1445 B1445 0.226926010678871 0.0001907
A1522 B1522 0.530892448512586 0.0001907
A1528 B1528 0.215443279313632 0
A1575 B1575 0.534134248665141 0.0001907
A1615 B1615 0.180362249761678 0
A1709 B1709 0.21647911501049 0.0003813
A1754 B1754 0.530600571973308 0
A1770 B1770 0.194280266920877 0
A1772 B1772 0.186689549961861 0.0001907
A1808 B1808 0.215865751334859 0.0001907
A1829 B1829 0.211248808388942 0
A1899 B1899 0.532799389778795 0.0001907
A1931 B1931 0.543391188251001 0.0003813
A1974 B1974 0.203050524308866 0
