FID IID het.rate mis.rate
A10 B10 0.279471544715447 0.06196
A168 B168 0.283575968833299 0.07016
A197 B197 0.318953179308935 0.06749
A292 B292 0.295777507105156 0.06082
A309 B309 0.313164349959117 0.0673
A657 B657 0.328890711502973 0.07016
A680 B680 0.304748260335653 0.06845
A738 B738 0.31781045751634 0.06654
A933 B933 0.335114033285391 0.07207
A962 B962 0.312984891792568 0.06616
A1010 B1010 0.300670868062614 0.06215
A1168 B1168 0.305168170631665 0.07035
A1197 B1197 0.287466775710489 0.06749
A1292 B1292 0.301990251827782 0.0612
A1309 B1309 0.307094663667962 0.06749
A1657 B1657 0.320623206232062 0.06997
A1680 B1680 0.277357332787891 0.06787
A1738 B1738 0.288135593220339 0.06635
A1933 B1933 0.310996916752312 0.07245
A1962 B1962 0.285451948581922 0.06559
